

EXPERIMENT INFO for MSS_PROP, PROP001_PROP001_run2.txt_20-Aug-2018_13-43.mat

Subject Code = PROP001
Input File = PROP001_run2.txt
Experiment notes: This is the script for the PRP task, updated 7-19-18.

Tag	Trial	Order	Onset	Dur	RT	Response

instrux	1	1	0.0255	5.0003	0.000	
fix	2	2	5.0421	1.0003	0.000	
cbt09	3	3	6.0921	8.0002	0.000	
fix	4	4	14.1088	0.2006	0.000	
cbt09	5	5	14.3255	8.0001	0.000	
fix	6	6	22.3421	0.2002	0.000	
cbt09	7	7	22.5755	8.0004	0.000	
fix	8	8	30.5921	0.2002	0.000	
cbt09	9	9	30.8254	8.0006	0.000	
fix	10	10	38.8421	0.2000	0.000	
relevance	11	11	39.0587	1.9647	1.893	8
fix	12	12	42.0588	1.0002	0.000	
liking	13	13	43.0755	2.0729	2.069	7
fix	14	14	46.0755	1.0006	0.000	
helpfulness	15	15	47.0921	1.9430	1.940	7
fix	16	16	50.0920	5.0003	0.000	
instrux	17	17	55.1088	5.0001	0.000	
fix	18	18	60.1254	1.0007	0.000	
cbt06	19	19	61.1588	8.0005	0.000	
fix	20	20	69.1755	0.2004	0.000	
cbt06	21	21	69.3922	8.0003	0.000	
fix	22	22	77.4088	0.2005	0.000	
cbt06	23	23	77.6255	8.0004	0.000	
fix	24	24	85.6421	0.2001	0.000	
cbt06	25	25	85.8755	8.0007	0.000	
fix	26	26	93.8922	0.2005	0.000	
cbt06	27	27	94.1255	8.0005	0.000	
fix	28	28	102.1421	0.2001	0.000	
cbt06	29	29	102.3588	8.0006	0.000	
fix	30	30	110.3754	0.2006	0.000	
cbt06	31	31	110.6088	8.0003	0.000	
fix	32	32	118.6255	0.2003	0.000	
cbt06	33	33	118.8588	8.0003	0.000	
fix	34	34	126.8755	0.2006	0.000	
relevance	35	35	127.0921	1.0952	1.092	9
fix	36	36	130.0921	1.0001	0.000	
liking	37	37	131.1087	1.3740	1.372	9
fix	38	38	134.1088	1.0001	0.000	
helpfulness	39	39	135.1254	1.3333	1.331	9
fix	40	40	138.1255	5.0002	0.000	
instrux	41	41	143.1421	5.0005	0.000	
fix	42	42	148.1588	1.0000	0.000	
pst01	43	43	149.1922	8.0002	0.000	
fix	44	44	157.2088	0.2005	0.000	
pst01	45	45	157.4421	8.0002	0.000	
fix	46	46	165.4588	0.2005	0.000	
pst01	47	47	165.6922	8.0004	0.000	
fix	48	48	173.7088	0.2002	0.000	
relevance	49	49	173.9264	2.4923	2.490	6
fix	50	50	176.9255	1.0005	0.000	
liking	51	51	177.9421	1.6768	1.674	7
fix	52	52	180.9421	1.0004	0.000	
helpfulness	53	53	181.9591	1.3713	1.369	6
fix	54	54	184.9587	5.0002	0.000	
instrux	55	55	189.9755	5.0005	0.000	
fix	56	56	194.9921	1.0002	0.000	
cbt05	57	57	196.0255	8.0003	0.000	
fix	58	58	204.0421	0.2005	0.000	
cbt05	59	59	204.2587	8.0004	0.000	
fix	60	60	212.2755	0.2002	0.000	
cbt05	61	61	212.4922	8.0002	0.000	
fix	62	62	220.5088	0.2004	0.000	
relevance	63	63	220.7256	1.0448	1.042	9
fix	64	64	223.7254	1.0006	0.000	
liking	65	65	224.7422	1.7648	1.762	9
fix	66	66	227.7421	1.0004	0.000	
helpfulness	67	67	228.7588	1.0202	1.018	8
fix	68	68	231.7588	5.0003	0.000	
instrux	69	69	236.7755	5.0006	0.000	
fix	70	70	241.7922	1.0007	0.000	
pst10	71	71	242.8255	8.0001	0.000	
fix	72	72	250.8421	0.2007	0.000	
pst10	73	73	251.0588	8.0002	0.000	
fix	74	74	259.0755	0.2006	0.000	
pst10	75	75	259.3087	8.0006	0.000	
fix	76	76	267.3255	0.2001	0.000	
pst10	77	77	267.5588	8.0003	0.000	
fix	78	78	275.5754	0.2005	0.000	
pst10	79	79	275.8087	8.0004	0.000	
fix	80	80	283.8255	0.2001	0.000	
relevance	81	81	284.0421	1.8969	1.894	6
fix	82	82	287.0422	1.0002	0.000	
liking	83	83	288.0595	1.8314	1.829	6
fix	84	84	291.0587	1.0006	0.000	
helpfulness	85	85	292.0760	3.0004	0.000	
fix	86	86	295.0921	5.0005	0.000	
instrux	87	87	300.1095	5.0002	0.000	
fix	88	88	305.1255	1.0000	0.000	
cbt01	89	89	306.1421	8.0004	0.000	
fix	90	90	314.1588	0.2006	0.000	
cbt01	91	91	314.3920	8.0002	0.000	
fix	92	92	322.4088	0.2006	0.000	
cbt01	93	93	322.6255	8.0007	0.000	
fix	94	94	330.6422	0.2004	0.000	
cbt01	95	95	330.8754	8.0004	0.000	
fix	96	96	338.8921	0.2003	0.000	
cbt01	97	97	339.1255	8.0006	0.000	
fix	98	98	347.1421	0.2000	0.000	
relevance	99	99	347.3588	2.6281	2.626	8
fix	100	100	350.3588	1.0005	0.000	
liking	101	101	351.3754	1.2438	1.241	8
fix	102	102	354.3755	1.0003	0.000	
helpfulness	103	103	355.3921	1.9788	1.976	7
fix	104	104	358.3921	5.0004	0.000	
instrux	105	105	363.4088	5.0004	0.000	
fix	106	106	368.4254	1.0004	0.000	
pst05	107	107	369.4587	8.0007	0.000	
fix	108	108	377.4754	0.2003	0.000	
pst05	109	109	377.7087	8.0003	0.000	
fix	110	110	385.7255	0.2003	0.000	
pst05	111	111	385.9755	8.0007	0.000	
fix	112	112	393.9922	0.2004	0.000	
relevance	113	113	394.2088	2.7698	2.767	5
fix	114	114	397.2087	1.0005	0.000	
liking	115	115	398.2255	1.8412	1.839	6
fix	116	116	401.2254	1.0004	0.000	
helpfulness	117	117	402.2421	1.4246	1.422	6
fix	118	118	405.2421	5.0006	0.000	
instrux	119	119	410.2588	5.0007	0.000	
fix	120	120	415.2755	1.0001	0.000	
cbt07	121	121	416.2922	8.0004	0.000	
fix	122	122	424.3088	0.2006	0.000	
cbt07	123	123	424.5255	8.0001	0.000	
fix	124	124	432.5421	0.2003	0.000	
cbt07	125	125	432.7588	8.0005	0.000	
fix	126	126	440.7755	0.2004	0.000	
cbt07	127	127	441.0088	8.0006	0.000	
fix	128	128	449.0255	0.2005	0.000	
cbt07	129	129	449.2588	8.0001	0.000	
fix	130	130	457.2754	0.2006	0.000	
cbt07	131	131	457.4922	8.0006	0.000	
fix	132	132	465.5088	0.2002	0.000	
relevance	133	133	465.7255	2.2137	2.211	8
fix	134	134	468.7255	1.0005	0.000	
liking	135	135	469.7421	1.6608	1.658	8
fix	136	136	472.7421	1.0004	0.000	
helpfulness	137	137	473.7588	0.7564	0.754	8
fix	138	138	476.7588	5.0007	0.000	
instrux	139	139	481.7754	5.0001	0.000	
fix	140	140	486.7921	1.0001	0.000	
pst06	141	141	487.8088	8.0005	0.000	
fix	142	142	495.8255	0.2008	0.000	
pst06	143	143	496.0588	8.0002	0.000	
fix	144	144	504.0755	0.2006	0.000	
pst06	145	145	504.2922	8.0006	0.000	
fix	146	146	512.3088	0.2006	0.000	
pst06	147	147	512.5255	8.0002	0.000	
fix	148	148	520.5421	0.2002	0.000	
relevance	149	149	520.7588	1.7561	1.754	8
fix	150	150	523.7588	1.0002	0.000	
liking	151	151	524.7755	1.7230	1.720	8
fix	152	152	527.7754	1.0007	0.000	
helpfulness	153	153	528.7921	1.3870	1.385	8
fix	154	154	531.8259	5.0007	0.000	
instrux	155	155	536.8421	5.0002	0.000	
fix	156	156	541.8588	1.0005	0.000	
pst08	157	157	542.8920	8.0005	0.000	
fix	158	158	550.9088	0.2002	0.000	
pst08	159	159	551.1422	8.0004	0.000	
fix	160	160	559.1588	0.2006	0.000	
pst08	161	161	559.3922	8.0007	0.000	
fix	162	162	567.4088	0.2004	0.000	
relevance	163	163	567.6255	2.3134	2.311	7
fix	164	164	570.6254	1.0002	0.000	
liking	165	165	571.6421	0.6084	0.606	7
fix	166	166	574.6421	1.0005	0.000	
helpfulness	167	167	575.6588	3.0000	0.000	
fix	168	168	578.6755	0.0000	0.000	


All Keys Pressed:

Key	Time	Accompanying Stimulus
8	40.99	relevance.jpg
8	41.04	default bg, st was relevance.jpg
7	45.15	liking.jpg
7	45.16	default bg, st was liking.jpg
7	49.03	helpfulness.jpg
7	49.04	default bg, st was helpfulness.jpg
9	128.19	relevance.jpg
9	128.19	default bg, st was relevance.jpg
9	132.48	liking.jpg
9	132.49	default bg, st was liking.jpg
9	136.46	helpfulness.jpg
9	136.48	default bg, st was helpfulness.jpg
6	176.42	relevance.jpg
6	176.43	default bg, st was relevance.jpg
7	179.62	liking.jpg
7	179.64	default bg, st was liking.jpg
6	183.33	helpfulness.jpg
6	183.35	default bg, st was helpfulness.jpg
9	221.77	relevance.jpg
9	221.78	default bg, st was relevance.jpg
9	226.51	liking.jpg
9	226.53	default bg, st was liking.jpg
8	229.78	helpfulness.jpg
8	229.79	default bg, st was helpfulness.jpg
6	285.94	relevance.jpg
6	285.96	default bg, st was relevance.jpg
6	289.89	liking.jpg
6	289.91	default bg, st was liking.jpg
8	349.99	relevance.jpg
8	349.99	default bg, st was relevance.jpg
8	352.62	liking.jpg
8	352.63	default bg, st was liking.jpg
7	357.37	helpfulness.jpg
