

EXPERIMENT INFO for MSS_PROP, PROP001_PROP001_run2.txt_20-Aug-2018_13-43.mat

Subject Code = PROP001
Input File = PROP001_run2.txt
Experiment notes: This is the script for the PRP task, updated 7-19-18.

Tag	Trial	Order	Onset	Dur	RT	Response
7	357.38	default bg, st was helpfulness.jpg
5	396.98	relevance.jpg
5	396.99	default bg, st was relevance.jpg
5	397.22	fix.jpg
6	400.07	liking.jpg
6	400.08	default bg, st was liking.jpg
6	403.67	helpfulness.jpg
6	403.68	default bg, st was helpfulness.jpg
8	467.94	relevance.jpg
8	467.94	default bg, st was relevance.jpg
8	471.40	liking.jpg
8	471.41	default bg, st was liking.jpg
8	474.51	helpfulness.jpg
8	474.53	default bg, st was helpfulness.jpg
8	522.51	relevance.jpg
8	522.53	default bg, st was relevance.jpg
8	526.50	liking.jpg
8	526.51	default bg, st was liking.jpg
8	530.18	helpfulness.jpg
8	530.19	default bg, st was helpfulness.jpg
7	569.94	relevance.jpg
7	569.96	default bg, st was relevance.jpg
7	572.25	liking.jpg
7	572.26	default bg, st was liking.jpg
