

EXPERIMENT INFO for MSS_PROP, PROP001_PROP001_run1.txt_20-Aug-2018_13-24.mat

Subject Code = PROP001
Input File = PROP001_run1.txt
Experiment notes: This is the script for the PRP task, updated 7-19-18.

Tag	Trial	Order	Onset	Dur	RT	Response
helpfulness	135	135	466.2131	0.8465	0.844	9
fix	136	136	469.2297	5.0005	0.000	
instrux	137	137	474.2464	5.0006	0.000	
fix	138	138	479.2630	1.0002	0.000	
pst06	139	139	480.2965	8.0001	0.000	
fix	140	140	488.3130	0.2006	0.000	
pst06	141	141	488.5630	8.0003	0.000	
fix	142	142	496.5797	0.2006	0.000	
pst06	143	143	496.8131	8.0005	0.000	
fix	144	144	504.8297	0.2003	0.000	
pst06	145	145	505.0798	8.0003	0.000	
fix	146	146	513.1131	0.2006	0.000	
relevance	147	147	513.3464	0.8806	0.878	7
fix	148	148	516.3464	1.0004	0.000	
liking	149	149	517.3804	0.5987	0.596	7
fix	150	150	520.3631	1.0005	0.000	
helpfulness	151	151	521.3797	0.8954	0.893	7
fix	152	152	524.3802	5.0003	0.000	
instrux	153	153	529.4131	5.0002	0.000	
fix	154	154	534.4297	1.0003	0.000	
pst08	155	155	535.4631	8.0005	0.000	
fix	156	156	543.4964	0.2002	0.000	
pst08	157	157	543.7298	8.0006	0.000	
fix	158	158	551.7469	0.2004	0.000	
pst08	159	159	551.9798	8.0003	0.000	
fix	160	160	560.0131	0.2002	0.000	
relevance	161	161	560.2464	2.3327	2.330	7
fix	162	162	563.2297	1.0001	0.000	
liking	163	163	564.2470	0.7323	0.729	7
fix	164	164	567.2468	1.0007	0.000	
helpfulness	165	165	568.2638	0.7076	0.705	7
fix	166	166	571.2630	0.0000	0.000	


All Keys Pressed:

Key	Time	Accompanying Stimulus
7	76.59	liking.jpg
7	76.65	default bg, st was liking.jpg
7	82.02	helpfulness.jpg
7	82.05	default bg, st was helpfulness.jpg
5	120.95	relevance.jpg
5	120.98	default bg, st was relevance.jpg
6	125.87	liking.jpg
6	125.90	default bg, st was liking.jpg
6	126.14	fix.jpg
5	129.19	helpfulness.jpg
5	129.21	default bg, st was helpfulness.jpg
6	175.72	relevance.jpg
6	175.75	default bg, st was relevance.jpg
6	180.43	liking.jpg
6	180.46	default bg, st was liking.jpg
6	183.55	helpfulness.jpg
6	183.58	default bg, st was helpfulness.jpg
7	230.26	relevance.jpg
7	230.30	default bg, st was relevance.jpg
7	236.09	liking.jpg
7	236.11	default bg, st was liking.jpg
7	237.98	helpfulness.jpg
7	238.00	default bg, st was helpfulness.jpg
7	295.06	relevance.jpg
7	295.08	default bg, st was relevance.jpg
7	297.39	liking.jpg
7	297.41	default bg, st was liking.jpg
7	302.35	helpfulness.jpg
7	302.38	default bg, st was helpfulness.jpg
9	358.15	relevance.jpg
9	358.16	default bg, st was relevance.jpg
9	361.53	liking.jpg
9	361.56	default bg, st was liking.jpg
8	366.24	helpfulness.jpg
8	366.26	default bg, st was helpfulness.jpg
6	403.93	relevance.jpg
6	403.95	default bg, st was relevance.jpg
6	408.47	liking.jpg
6	408.50	default bg, st was liking.jpg
6	411.80	helpfulness.jpg
6	411.83	default bg, st was helpfulness.jpg
9	459.11	relevance.jpg
9	459.13	default bg, st was relevance.jpg
9	463.09	liking.jpg
9	463.11	default bg, st was liking.jpg
9	467.06	helpfulness.jpg
9	467.08	default bg, st was helpfulness.jpg
7	514.23	relevance.jpg
7	514.25	default bg, st was relevance.jpg
7	517.98	liking.jpg
7	518.00	default bg, st was liking.jpg
7	522.27	helpfulness.jpg
7	522.30	default bg, st was helpfulness.jpg
7	562.58	relevance.jpg
7	562.60	default bg, st was relevance.jpg
7	564.98	liking.jpg
7	565.00	default bg, st was liking.jpg
7	568.97	helpfulness.jpg
7	568.98	default bg, st was helpfulness.jpg
